medium	description	compound	name
WesternDiet_Mucin	AGORA WD+Mucin	na1	Na+
WesternDiet_Mucin	AGORA WD+Mucin	ca2	Ca2+
WesternDiet_Mucin	AGORA WD+Mucin	cobalt2	Co2+
WesternDiet_Mucin	AGORA WD+Mucin	cl	Cl-
WesternDiet_Mucin	AGORA WD+Mucin	k	K+
WesternDiet_Mucin	AGORA WD+Mucin	fe2	Fe2+
WesternDiet_Mucin	AGORA WD+Mucin	fe3	Fe3+
WesternDiet_Mucin	AGORA WD+Mucin	fe3dcit	Ferric dicitrate
WesternDiet_Mucin	AGORA WD+Mucin	mg2	Mg2+
WesternDiet_Mucin	AGORA WD+Mucin	mn2	Mn2+
WesternDiet_Mucin	AGORA WD+Mucin	mobd	Molybdate
WesternDiet_Mucin	AGORA WD+Mucin	cu2	Cu2+
WesternDiet_Mucin	AGORA WD+Mucin	zn2	Zn2+
WesternDiet_Mucin	AGORA WD+Mucin	sel	Selenite
WesternDiet_Mucin	AGORA WD+Mucin	pime	Pimelate
WesternDiet_Mucin	AGORA WD+Mucin	mqn8	Menaquinone 8
WesternDiet_Mucin	AGORA WD+Mucin	12dgr180	1,2-Diacylglycerol
WesternDiet_Mucin	AGORA WD+Mucin	26dap__M	meso-Diaminopimelate
WesternDiet_Mucin	AGORA WD+Mucin	2obut	2-Oxobutanoate
WesternDiet_Mucin	AGORA WD+Mucin	3mop	3-Methyl-2-oxopentanoate
WesternDiet_Mucin	AGORA WD+Mucin	4hbz	4-Hydroxybenzoate
WesternDiet_Mucin	AGORA WD+Mucin	ac	Acetate
WesternDiet_Mucin	AGORA WD+Mucin	acgam	N-Acetyl-D-glucosamine
WesternDiet_Mucin	AGORA WD+Mucin	acnam	N-Acetylneuraminate
WesternDiet_Mucin	AGORA WD+Mucin	acmana	N-Acetyl-D-mannosamine
WesternDiet_Mucin	AGORA WD+Mucin	ade	Adenine
WesternDiet_Mucin	AGORA WD+Mucin	adn	Adenosine
WesternDiet_Mucin	AGORA WD+Mucin	ala__D	D-Alanine
WesternDiet_Mucin	AGORA WD+Mucin	arab__D	D-Arabinose
WesternDiet_Mucin	AGORA WD+Mucin	cgly	Cys-Gly
WesternDiet_Mucin	AGORA WD+Mucin	chor	Chorismate
WesternDiet_Mucin	AGORA WD+Mucin	cit	Citrate
WesternDiet_Mucin	AGORA WD+Mucin	amet	S-Adenosyl-L-methionine
WesternDiet_Mucin	AGORA WD+Mucin	csn	Cytosine
WesternDiet_Mucin	AGORA WD+Mucin	cytd	Cytidine
WesternDiet_Mucin	AGORA WD+Mucin	dad__2	Deoxyadenosine
WesternDiet_Mucin	AGORA WD+Mucin	dcyt	Deoxycytidine
WesternDiet_Mucin	AGORA WD+Mucin	ddca	Dodecanoic acid
WesternDiet_Mucin	AGORA WD+Mucin	dgsn	Deoxyguanosine
WesternDiet_Mucin	AGORA WD+Mucin	for	Formate
WesternDiet_Mucin	AGORA WD+Mucin	fum	Fumarate
WesternDiet_Mucin	AGORA WD+Mucin	glyc3p	Glycerol 3-phosphate
WesternDiet_Mucin	AGORA WD+Mucin	gsn	Guanosine
WesternDiet_Mucin	AGORA WD+Mucin	gthox	Oxidized glutathione
WesternDiet_Mucin	AGORA WD+Mucin	gua	Guanine
WesternDiet_Mucin	AGORA WD+Mucin	h	H+
WesternDiet_Mucin	AGORA WD+Mucin	hxan	Hypoxanthine
WesternDiet_Mucin	AGORA WD+Mucin	indole	Indole
WesternDiet_Mucin	AGORA WD+Mucin	lanost	Lanosterol
WesternDiet_Mucin	AGORA WD+Mucin	metsox__S__L	L-Methionine S-oxide
WesternDiet_Mucin	AGORA WD+Mucin	mqn7	Menaquinone 7
WesternDiet_Mucin	AGORA WD+Mucin	ncam	Nicotinamide
WesternDiet_Mucin	AGORA WD+Mucin	nmn	NMN
WesternDiet_Mucin	AGORA WD+Mucin	orn	Ornithine
WesternDiet_Mucin	AGORA WD+Mucin	pi	Phosphate
WesternDiet_Mucin	AGORA WD+Mucin	ptrc	Putrescine
WesternDiet_Mucin	AGORA WD+Mucin	pydx5p	Pyridoxal 5-phosphate
WesternDiet_Mucin	AGORA WD+Mucin	q8	Ubiquinone-8
WesternDiet_Mucin	AGORA WD+Mucin	sheme	Siroheme
WesternDiet_Mucin	AGORA WD+Mucin	thymd	Thymidine
WesternDiet_Mucin	AGORA WD+Mucin	ura	Uracil
WesternDiet_Mucin	AGORA WD+Mucin	uri	Uridine
WesternDiet_Mucin	AGORA WD+Mucin	xan	Xanthine
WesternDiet_Mucin	AGORA WD+Mucin	meoh	Methanol
WesternDiet_Mucin	AGORA WD+Mucin	h2o	H2O
WesternDiet_Mucin	AGORA WD+Mucin	2dmmq8	2-Demethylmenaquinone 8
WesternDiet_Mucin	AGORA WD+Mucin	4abz	4-Aminobenzoate
WesternDiet_Mucin	AGORA WD+Mucin	amp	AMP
WesternDiet_Mucin	AGORA WD+Mucin	fald	Formaldehyde
WesternDiet_Mucin	AGORA WD+Mucin	gam	D-Glucosamine
WesternDiet_Mucin	AGORA WD+Mucin	glu__D	D-Glutamate
WesternDiet_Mucin	AGORA WD+Mucin	gthrd	Reduced glutathione
WesternDiet_Mucin	AGORA WD+Mucin	h2	Hydrogen
WesternDiet_Mucin	AGORA WD+Mucin	no2	Nitrite
WesternDiet_Mucin	AGORA WD+Mucin	acgam	N-Acetyl-D-glucosamine
WesternDiet_Mucin	AGORA WD+Mucin	acnam	N-Acetylneuraminate
WesternDiet_Mucin	AGORA WD+Mucin	fuc__L	L-Fucose
WesternDiet_Mucin	AGORA WD+Mucin	gal	D-Galactose
WesternDiet_Mucin	AGORA WD+Mucin	gam	D-Glucosamine
Akk_Minimal	Van_der_Ark_2017	acgam	N-acetyl-D-glucosamine
Akk_Minimal	Van_der_Ark_2017	fuc__L	L-Fucose
Akk_Minimal	Van_der_Ark_2017	thr__L	L-Threonine
Akk_Minimal	Van_der_Ark_2017	cys__L	L-Cysteine
Akk_Minimal	Van_der_Ark_2017	pnto__R	(R)-Pantothenate
Akk_Minimal	Van_der_Ark_2017	nict	Nicotinate
Akk_Minimal	Van_der_Ark_2017	ribflv	Riboflavin
Akk_Minimal	Van_der_Ark_2017	thm	Thiamine
Akk_Minimal	Van_der_Ark_2017	btn	Biotin
Akk_Minimal	Van_der_Ark_2017	pydxn	Pyridoxine
Akk_Minimal	Van_der_Ark_2017	cbl1	Cobalamin
Akk_Minimal	Van_der_Ark_2017	nh4	Ammonium
Akk_Minimal	Van_der_Ark_2017	pi	Phosphate
Akk_Minimal	Van_der_Ark_2017	so4	Sulfate
Akk_Minimal	Van_der_Ark_2017	h2o	H2O
Akk_Minimal	Van_der_Ark_2017	h	H+
Akk_Minimal	Van_der_Ark_2017	co2	CO2
Akk_Minimal	Van_der_Ark_2017	na1	Sodium
Akk_Minimal	Van_der_Ark_2017	k	Potassium
Akk_Minimal	Van_der_Ark_2017	mg2	Magnesium
Akk_Minimal	Van_der_Ark_2017	ca2	Calcium
Akk_Minimal	Van_der_Ark_2017	cl	Chloride
Akk_Minimal	Van_der_Ark_2017	fe2	Fe2+
Akk_Minimal	Van_der_Ark_2017	fe3	Fe3+
Akk_Minimal	Van_der_Ark_2017	cobalt2	Co2+
Akk_Minimal	Van_der_Ark_2017	mn2	Mn2+
Akk_Minimal	Van_der_Ark_2017	zn2	Zn2+
Akk_Minimal	Van_der_Ark_2017	ni2	Ni2+
Akk_Minimal	Van_der_Ark_2017	cu2	Cu2+
Akk_Minimal	Van_der_Ark_2017	mobd	Molybdate
Akk_CrossFeed	Akk_CrossFeed_2026	acgam	N-acetyl-D-glucosamine
Akk_CrossFeed	Akk_CrossFeed_2026	cys__L	L-Cysteine
Akk_CrossFeed	Akk_CrossFeed_2026	pnto__R	(R)-Pantothenate
Akk_CrossFeed	Akk_CrossFeed_2026	nict	Nicotinate
Akk_CrossFeed	Akk_CrossFeed_2026	ribflv	Riboflavin
Akk_CrossFeed	Akk_CrossFeed_2026	thm	Thiamine
Akk_CrossFeed	Akk_CrossFeed_2026	btn	Biotin
Akk_CrossFeed	Akk_CrossFeed_2026	pydxn	Pyridoxine
Akk_CrossFeed	Akk_CrossFeed_2026	nh4	Ammonium
Akk_CrossFeed	Akk_CrossFeed_2026	pi	Phosphate
Akk_CrossFeed	Akk_CrossFeed_2026	so4	Sulfate
Akk_CrossFeed	Akk_CrossFeed_2026	h2o	H2O
Akk_CrossFeed	Akk_CrossFeed_2026	h	H+
Akk_CrossFeed	Akk_CrossFeed_2026	co2	CO2
Akk_CrossFeed	Akk_CrossFeed_2026	na1	Sodium
Akk_CrossFeed	Akk_CrossFeed_2026	k	Potassium
Akk_CrossFeed	Akk_CrossFeed_2026	mg2	Magnesium
Akk_CrossFeed	Akk_CrossFeed_2026	ca2	Calcium
Akk_CrossFeed	Akk_CrossFeed_2026	cl	Chloride
Akk_CrossFeed	Akk_CrossFeed_2026	fe2	Fe2+
Akk_CrossFeed	Akk_CrossFeed_2026	fe3	Fe3+
Akk_CrossFeed	Akk_CrossFeed_2026	cobalt2	Co2+
Akk_CrossFeed	Akk_CrossFeed_2026	mn2	Mn2+
Akk_CrossFeed	Akk_CrossFeed_2026	zn2	Zn2+
Akk_CrossFeed	Akk_CrossFeed_2026	ni2	Ni2+
Akk_CrossFeed	Akk_CrossFeed_2026	cu2	Cu2+
Akk_CrossFeed	Akk_CrossFeed_2026	mobd	Molybdate
Akk_CrossFeed	Akk_CrossFeed_2026	thr__L	L-Threonine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	glc__D	D-Glucose
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	malt	Maltose
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	malthx	Maltohexaose (glycogen proxy)
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	acgam	N-acetyl-D-glucosamine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	ala__L	L-Alanine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	arg__L	L-Arginine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	asn__L	L-Asparagine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	asp__L	L-Aspartate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	cys__L	L-Cysteine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	glu__L	L-Glutamate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	gln__L	L-Glutamine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	gly	Glycine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	his__L	L-Histidine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	ile__L	L-Isoleucine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	leu__L	L-Leucine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	lys__L	L-Lysine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	met__L	L-Methionine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	phe__L	L-Phenylalanine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	pro__L	L-Proline
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	ser__L	L-Serine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	thr__L	L-Threonine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	trp__L	L-Tryptophan
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	tyr__L	L-Tyrosine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	val__L	L-Valine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	adn	Adenosine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	cytd	Cytidine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	gsn	Guanosine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	uri	Uridine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	thymd	Thymidine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	hxan	Hypoxanthine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	pheme	Protoheme (hemin)
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	pnto__R	(R)-Pantothenate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	nict	Nicotinate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	ribflv	Riboflavin
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	thm	Thiamine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	btn	Biotin
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	pydxn	Pyridoxine
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	cbl1	Cobalamin
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	fol	Folate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	4abz	4-Aminobenzoate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	nh4	Ammonium
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	pi	Phosphate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	so4	Sulfate
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	h2o	H2O
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	h	H+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	co2	CO2
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	o2	Oxygen (microaerobic)
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	na1	Sodium
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	k	Potassium
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	mg2	Magnesium
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	ca2	Calcium
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	cl	Chloride
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	fe2	Fe2+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	fe3	Fe3+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	mn2	Mn2+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	zn2	Zn2+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	cu2	Cu2+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	cobalt2	Co2+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	ni2	Ni2+
Vaginal_NYC	NYC-III-like vaginal medium (microaerobic, BiGG)	mobd	Molybdate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	glc__D	D-Glucose
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	malt	Maltose
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	malthx	Maltohexaose (glycogen proxy)
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	acgam	N-acetyl-D-glucosamine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	ala__L	L-Alanine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	arg__L	L-Arginine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	asn__L	L-Asparagine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	asp__L	L-Aspartate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	cys__L	L-Cysteine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	glu__L	L-Glutamate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	gln__L	L-Glutamine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	gly	Glycine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	his__L	L-Histidine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	ile__L	L-Isoleucine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	leu__L	L-Leucine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	lys__L	L-Lysine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	met__L	L-Methionine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	phe__L	L-Phenylalanine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	pro__L	L-Proline
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	ser__L	L-Serine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	thr__L	L-Threonine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	trp__L	L-Tryptophan
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	tyr__L	L-Tyrosine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	val__L	L-Valine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	adn	Adenosine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	cytd	Cytidine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	gsn	Guanosine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	uri	Uridine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	thymd	Thymidine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	hxan	Hypoxanthine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	pheme	Protoheme (hemin)
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	pnto__R	(R)-Pantothenate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	nict	Nicotinate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	ribflv	Riboflavin
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	thm	Thiamine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	btn	Biotin
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	pydxn	Pyridoxine
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	cbl1	Cobalamin
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	fol	Folate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	4abz	4-Aminobenzoate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	nh4	Ammonium
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	pi	Phosphate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	so4	Sulfate
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	h2o	H2O
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	h	H+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	co2	CO2
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	na1	Sodium
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	k	Potassium
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	mg2	Magnesium
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	ca2	Calcium
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	cl	Chloride
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	fe2	Fe2+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	fe3	Fe3+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	mn2	Mn2+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	zn2	Zn2+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	cu2	Cu2+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	cobalt2	Co2+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	ni2	Ni2+
Vaginal_NYC[-O2]	Vaginal_NYC anaerobic variant (BVAB/Gardnerella biofilm)	mobd	Molybdate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	glc__D	D-Glucose
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	sucr	Sucrose
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	acgam	N-acetyl-D-glucosamine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	acnam	N-acetyl-neuraminate (sialic acid)
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	fuc__L	L-Fucose
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	gal	D-Galactose
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	man	D-Mannose
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	urea	Urea
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	ala__L	L-Alanine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	arg__L	L-Arginine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	asn__L	L-Asparagine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	asp__L	L-Aspartate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	cys__L	L-Cysteine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	glu__L	L-Glutamate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	gln__L	L-Glutamine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	gly	Glycine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	his__L	L-Histidine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	ile__L	L-Isoleucine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	leu__L	L-Leucine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	lys__L	L-Lysine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	met__L	L-Methionine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	phe__L	L-Phenylalanine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	pro__L	L-Proline
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	ser__L	L-Serine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	thr__L	L-Threonine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	trp__L	L-Tryptophan
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	tyr__L	L-Tyrosine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	val__L	L-Valine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	adn	Adenosine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	cytd	Cytidine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	gsn	Guanosine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	uri	Uridine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	thymd	Thymidine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	hxan	Hypoxanthine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	pheme	Protoheme (hemin)
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	mqn8	Menaquinone-8
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	mqn7	Menaquinone-7
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	pnto__R	(R)-Pantothenate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	nict	Nicotinate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	ribflv	Riboflavin
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	thm	Thiamine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	btn	Biotin
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	pydxn	Pyridoxine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	cbl1	Cobalamin
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	fol	Folate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	4abz	4-Aminobenzoate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	spmd	Spermidine
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	nh4	Ammonium
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	pi	Phosphate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	so4	Sulfate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	h2o	H2O
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	h	H+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	co2	CO2
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	hco3	Bicarbonate
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	o2	Oxygen (microaerobic)
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	na1	Sodium
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	k	Potassium
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	mg2	Magnesium
